Date,Price,Open,High,Low,Volume,Chg%
2016-12-26,518.81,522.22,528.0,517.42,7070000,-0.009300000000000001
2016-12-27,527.35,519.01,528.54,518.58,8050000,0.0165
2016-12-28,519.92,528.94,529.75,518.63,4450000,-0.0141
2016-12-29,527.72,520.07,529.38,519.82,4050000,0.015
2016-12-30,536.12,527.4,537.41,526.56,7250000,0.0159
2017-01-02,537.46,536.91,539.88,531.14,3280000,0.0025
2017-01-03,539.59,539.81,543.35,535.47,2970000,0.004
2017-01-04,528.56,541.32,541.37,527.15,4800000,-0.0204
2017-01-05,533.64,530.47,534.88,529.36,4030000,0.0096
2017-01-06,532.43,532.06,537.41,531.51,3620000,-0.0023
2017-01-09,533.79,533.44,537.9,530.47,2410000,0.0026
2017-01-10,539.81,534.93,542.06,534.93,5240000,0.0113
2017-01-11,537.93,542.36,542.71,536.91,5300000,-0.0034999999999999996
2017-01-12,536.56,538.4,540.06,534.83,2020000,-0.0025
2017-01-13,540.08,537.18,543.6,537.18,3340000,0.0066
2017-01-16,533.07,539.86,541.84,531.93,5540000,-0.013000000000000001
2017-01-17,515.74,527.5,528.99,514.37,18110000,-0.0325
2017-01-18,511.43,516.4,519.08,509.55,7320000,-0.0084
2017-01-19,512.0,512.71,517.74,510.66,7050000,0.0011
2017-01-20,508.08,512.12,513.85,507.14,4050000,-0.0077
2017-01-23,503.18,506.1,510.66,501.64,6330000,-0.0096
2017-01-24,508.83,503.73,509.57,503.73,4350000,0.011200000000000002
2017-01-25,503.87,511.15,511.5,503.3,11010000,-0.0097
2017-01-27,507.74,505.33,509.62,504.72,10090000,0.0077
2017-01-30,517.49,507.66,518.31,507.59,7240000,0.0192
2017-01-31,517.69,518.51,521.95,515.27,6980000,0.0004
2017-02-01,519.9,518.14,520.52,512.74,5220000,0.0043
2017-02-02,516.85,520.07,520.47,514.25,4200000,-0.0059
2017-02-03,511.97,518.09,520.29,510.21,6100000,-0.009399999999999999
2017-02-06,515.93,513.63,517.54,511.18,4610000,0.0077
2017-02-07,510.61,516.11,516.28,508.78,4570000,-0.0103
2017-02-08,507.76,510.61,514.25,506.2,7490000,-0.005600000000000001
2017-02-09,511.53,509.17,512.15,508.58,4550000,0.0074
2017-02-10,510.24,512.64,512.91,507.96,5780000,-0.0025
2017-02-13,510.09,511.65,512.15,506.2,3950000,-0.0003
2017-02-14,519.97,512.64,521.51,510.11,8420000,0.0194
2017-02-15,520.71,521.51,523.79,517.72,7030000,0.0014000000000000002
2017-02-16,528.74,521.33,529.7,521.33,9070000,0.0154
2017-02-17,532.7,528.24,534.04,524.26,6850000,0.0075
2017-02-20,532.65,530.25,534.36,528.24,5380000,-0.0001
2017-02-21,538.99,532.55,540.35,531.49,6550000,0.011899999999999999
2017-02-22,598.08,541.37,600.14,540.87,58760000,0.1096
2017-02-23,585.82,601.1,605.26,584.14,28730000,-0.020499999999999997
2017-02-27,613.63,589.66,622.5,589.59,38500000,0.0475
2017-02-28,613.21,610.22,618.14,608.48,16670000,-0.0007000000000000001
2017-03-01,611.45,614.23,616.36,609.23,11250000,-0.0029
2017-03-02,612.57,613.14,621.46,607.76,8340000,0.0018
2017-03-03,623.37,614.95,637.85,614.95,38910000,0.0176
2017-03-06,646.55,628.54,649.84,626.68,30790000,0.037200000000000004
2017-03-07,646.35,653.23,657.27,641.99,19420000,-0.0003
2017-03-08,639.54,647.71,647.71,637.01,20000000,-0.0105
2017-03-09,637.33,638.94,642.91,634.73,14350000,-0.0034999999999999996
2017-03-10,634.81,639.07,641.92,624.68,11440000,-0.004
2017-03-14,638.7,653.18,653.31,636.59,12810000,0.0060999999999999995
2017-03-15,646.35,639.46,651.97,639.14,11130000,0.012
2017-03-16,642.73,648.85,649.05,640.73,7350000,-0.005600000000000001
2017-03-17,644.24,647.86,653.78,642.93,10490000,0.0023
2017-03-20,634.39,646.87,646.99,633.17,5940000,-0.015300000000000001
2017-03-21,625.97,635.08,635.92,623.74,10430000,-0.013300000000000001
2017-03-22,623.94,620.12,627.01,617.42,9360000,-0.0032
2017-03-23,630.67,625.64,632.78,623.09,5450000,0.0108
2017-03-24,637.33,631.07,639.93,628.27,7510000,0.0106
2017-03-27,619.68,629.58,633.37,617.74,14980000,-0.0277
2017-03-28,617.03,623.09,626.07,615.22,10020000,-0.0043
2017-03-29,622.43,619.97,624.08,610.88,8730000,0.0088
2017-03-30,629.36,621.61,631.39,620.62,12860000,0.0111
2017-03-31,654.25,627.06,662.54,627.06,20950000,0.0395
2017-04-03,680.87,664.7,683.77,662.25,20720000,0.0407
2017-04-05,700.86,691.05,702.34,683.57,18610000,0.0294
2017-04-06,712.5,697.88,717.65,694.52,23360000,0.0166
2017-04-07,696.7,703.98,710.27,694.69,14710000,-0.0222
2017-04-10,684.19,698.38,705.76,682.18,14200000,-0.018000000000000002
2017-04-11,679.73,687.41,693.65,678.62,14880000,-0.006500000000000001
2017-04-12,670.64,684.91,686.72,669.23,12670000,-0.0134
2017-04-13,675.99,670.64,680.25,667.35,5870000,0.008
2017-04-17,689.39,676.09,691.22,676.09,5460000,0.019799999999999998
2017-04-18,678.67,693.4,698.38,677.08,7390000,-0.015600000000000001
2017-04-19,677.97,678.07,684.78,672.4,5340000,-0.001
2017-04-20,678.34,683.03,686.89,675.65,3870000,0.0005
2017-04-21,694.67,683.77,703.83,682.8,13950000,0.0241
2017-04-24,702.05,697.91,710.76,693.53,11770000,0.0106
2017-04-25,709.67,723.15,726.98,706.35,16970000,0.0109
2017-04-26,701.57,710.76,713.26,694.71,7740000,-0.011399999999999999
2017-04-27,698.13,701.85,705.39,694.52,5800000,-0.0049
2017-04-28,691.05,698.26,703.48,688.97,5470000,-0.0101
2017-05-02,678.84,694.42,694.42,676.74,8580000,-0.0177
2017-05-03,678.62,681.99,683.89,676.09,4380000,-0.0003
2017-05-04,672.6,681.04,683.32,670.67,6630000,-0.0089
2017-05-05,657.89,674.41,677.26,656.28,7200000,-0.0219
2017-05-08,654.5,658.76,663.46,652.99,7410000,-0.0052
2017-05-09,658.93,655.78,660.56,653.93,9740000,0.0068000000000000005
2017-05-10,673.17,661.13,675.4,659.08,10570000,0.0216
2017-05-11,673.39,675.65,678.44,669.48,6360000,0.0003
2017-05-12,668.88,673.64,675.6,665.71,3470000,-0.0067
2017-05-15,665.74,671.83,671.83,660.49,3110000,-0.004699999999999999
2017-05-16,671.78,666.71,681.99,664.2,5840000,0.0091
2017-05-17,670.2,670.15,676.56,667.55,4540000,-0.0024
2017-05-18,657.44,663.83,668.66,655.83,4520000,-0.019
2017-05-19,653.23,660.24,661.58,648.85,5910000,-0.0064
2017-05-22,655.86,657.02,660.54,651.43,4059999,0.004
2017-05-23,646.65,656.63,658.68,644.89,4260000,-0.013999999999999999
2017-05-24,642.76,647.61,650.68,641.47,6610000,-0.006
2017-05-25,645.11,643.9,650.04,642.14,11960000,0.0037
2017-05-26,662.37,645.85,665.89,643.9,9890000,0.0268
2017-05-29,672.08,662.22,676.31,661.53,11090000,0.0147
2017-05-30,673.29,671.58,675.94,667.92,4460000,0.0018
2017-05-31,664.06,677.08,677.55,661.63,7580000,-0.0137
2017-06-01,657.89,660.09,663.71,655.29,4400000,-0.009300000000000001
2017-06-02,656.16,661.23,663.06,652.32,5300000,-0.0026
2017-06-05,658.43,656.9,664.2,651.75,5000000,0.0034999999999999996
2017-06-06,650.24,660.71,660.71,649.34,4430000,-0.0124
2017-06-07,663.21,649.44,664.7,648.35,5170000,0.0199
2017-06-08,659.6,663.71,666.09,657.79,3650000,-0.0054
2017-06-09,661.58,666.23,670.12,659.25,6390000,0.003
2017-06-12,653.53,657.05,658.63,652.32,3890000,-0.012199999999999999
2017-06-13,651.0,654.1,657.27,649.34,2780000,-0.0039000000000000003
2017-06-14,672.38,651.77,673.61,651.77,24430000,0.032799999999999996
2017-06-15,685.48,673.61,690.95,673.17,13060000,0.0195
2017-06-16,687.88,688.03,691.35,678.22,15100000,0.0034999999999999996
2017-06-19,698.01,688.57,701.25,688.57,7030000,0.0147
2017-06-20,699.54,697.88,704.37,697.12,4680000,0.0022
2017-06-21,704.32,697.29,707.3,695.53,9230000,0.0068000000000000005
2017-06-22,709.6,708.01,715.91,707.15,10210000,0.0075
2017-06-23,711.18,711.26,714.23,708.58,14370000,0.0022
2017-06-27,711.83,709.28,714.73,705.81,15040000,0.0009
2017-06-28,692.68,713.21,713.21,691.22,7180000,-0.0269
2017-06-29,689.81,693.43,698.38,688.52,5950000,-0.0040999999999999995
2017-06-30,683.52,689.46,689.66,681.07,3610000,-0.0091
2017-07-03,684.04,687.58,690.8,679.06,4240000,0.0008
2017-07-04,704.3,688.47,706.85,687.98,8680000,0.0296
2017-07-05,714.55,708.01,716.93,705.31,12560000,0.0146
2017-07-06,714.5,717.55,718.19,712.25,6270000,-0.0001
2017-07-07,738.57,714.73,741.84,713.24,16540000,0.0337
2017-07-10,739.42,757.82,767.72,737.56,1650000,0.0012
2017-07-11,740.16,743.45,745.14,736.52,9690000,0.001
2017-07-12,748.46,742.66,755.34,741.72,7890000,0.011200000000000002
2017-07-13,753.9,747.29,755.34,746.0,10620000,0.0073
2017-07-14,759.67,752.86,760.79,750.66,9470000,0.0077
2017-07-17,768.59,761.28,772.48,761.28,8650000,0.011699999999999999
2017-07-18,752.81,766.14,768.61,748.41,9060000,-0.020499999999999997
2017-07-19,759.28,749.2,761.78,749.2,5440000,0.0086
2017-07-20,757.27,762.65,767.72,754.7,6290000,-0.0026
2017-07-21,785.06,767.72,788.38,765.22,44830000,0.036699999999999997
2017-07-24,800.04,792.49,804.82,785.06,20040000,0.0191
2017-07-25,793.55,804.72,804.85,791.3,9260000,-0.008100000000000001
2017-07-26,803.76,794.57,807.3,793.03,10130000,0.0129
2017-07-27,789.91,806.36,808.09,786.72,8500000,-0.0172
2017-07-28,789.74,788.15,795.44,781.59,6610000,-0.0002
2017-07-31,800.02,793.45,801.8,790.51,7650000,0.013000000000000001
2017-08-01,794.27,803.76,803.76,788.28,5680000,-0.0072
2017-08-02,806.95,797.44,810.17,796.5,9590000,0.016
2017-08-03,817.3,805.79,824.63,800.93,9090000,0.0128
2017-08-04,803.46,823.69,823.69,799.97,8570000,-0.0169
2017-08-07,800.59,808.14,808.14,798.7,4400000,-0.0036
2017-08-08,793.75,801.4,802.91,785.95,5060000,-0.0085
2017-08-09,791.89,793.23,802.39,785.06,4820000,-0.0023
2017-08-10,784.74,789.05,795.78,781.57,4700000,-0.009000000000000001
2017-08-11,765.87,768.19,782.58,759.3,7840000,-0.024
2017-08-14,779.14,773.17,784.81,773.17,6200000,0.0173
2017-08-16,775.7,778.62,780.6,767.82,6270000,-0.0044
2017-08-17,776.19,777.13,791.32,773.25,7300000,0.0006
2017-08-18,780.3,774.66,781.49,769.28,3660000,0.0053
2017-08-21,774.86,781.1,784.64,772.8,3500000,-0.006999999999999999
2017-08-22,772.7,778.62,782.53,770.72,4400000,-0.0028000000000000004
2017-08-23,783.6,775.08,785.83,769.28,3840000,0.0141
2017-08-24,776.66,787.53,789.07,774.9,5840000,-0.0089
2017-08-28,775.92,782.11,783.55,773.27,5680000,-0.001
2017-08-29,758.88,773.59,776.39,757.82,7000000,-0.022000000000000002
2017-08-30,774.71,766.51,777.03,763.39,4770000,0.0209
2017-08-31,789.76,780.11,791.22,779.61,11590000,0.0194
2017-09-01,797.49,792.41,800.71,791.99,7120000,0.0098
2017-09-04,799.1,800.17,810.39,790.43,9950000,0.002
2017-09-05,808.63,807.35,809.75,802.91,11640000,0.011899999999999999
2017-09-06,814.97,805.56,818.49,803.78,22500000,0.0078000000000000005
2017-09-07,810.42,815.27,824.68,807.35,7480000,-0.005600000000000001
2017-09-08,809.23,812.3,815.52,804.47,6110000,-0.0015
2017-09-11,810.22,813.59,819.09,808.88,5860000,0.0012
2017-09-12,816.01,815.02,817.25,809.33,3000000,0.0070999999999999995
2017-09-13,841.03,816.26,851.83,814.28,13560000,0.030699999999999998
2017-09-14,835.93,847.76,853.41,834.09,5480000,-0.0060999999999999995
2017-09-15,833.9,834.09,844.84,826.91,13200000,-0.0024
2017-09-18,837.61,842.02,843.06,835.18,2340000,0.0044
2017-09-19,830.73,840.73,840.78,829.14,3560000,-0.008199999999999999
2017-09-20,839.2,848.06,864.31,837.16,11510000,0.0102
2017-09-21,833.45,839.05,843.7,828.4,5980000,-0.0069
2017-09-22,809.72,832.01,832.01,805.56,5670000,-0.0285
2017-09-25,813.84,807.35,820.18,797.64,6570000,0.0051
2017-09-26,812.4,813.98,819.28,804.57,4880000,-0.0018
2017-09-27,791.65,817.85,817.95,788.03,8510000,-0.0255
2017-09-28,779.07,792.14,795.36,772.87,13640000,-0.0159
2017-09-29,773.57,784.32,785.95,771.78,7690000,-0.0070999999999999995
2017-10-03,790.85,787.53,796.3,777.98,8470000,0.0223
2017-10-04,811.16,791.7,817.2,788.13,8730000,0.025699999999999997
2017-10-05,816.41,817.25,820.67,810.96,4910000,0.006500000000000001
2017-10-06,829.19,816.26,831.47,814.88,6000000,0.015700000000000002
2017-10-09,822.85,831.12,831.91,820.23,4080000,-0.0076
2017-10-10,835.28,823.2,839.34,823.2,6800000,0.0151
2017-10-11,832.26,837.36,850.34,828.15,7120000,-0.0036
2017-10-12,864.55,834.19,868.57,834.19,8600000,0.0388
2017-10-13,868.22,871.04,882.34,865.15,9930000,0.0042
2017-10-16,868.57,870.75,883.62,853.21,14770000,0.0004
2017-10-17,866.14,869.76,875.7,859.06,6410000,-0.0028000000000000004
2017-10-18,905.91,869.16,909.28,866.78,16920000,0.045899999999999996
2017-10-19,901.36,907.2,913.24,894.52,3700000,-0.005
2017-10-23,930.93,904.33,935.83,900.56,12670000,0.032799999999999996
2017-10-24,925.48,938.8,938.8,919.48,6400000,-0.0059
2017-10-25,931.07,931.27,937.02,920.77,4620000,0.006
