,Date,Price,Open,High,Low,Volume,Chg%
407,"Jul 29, 2021",292.9,287.55,295.4,287.55,57.73M,2.97%
408,"Jul 28, 2021",284.45,290.0,290.9,283.6,36.14M,-2.39%
409,"Jul 27, 2021",291.4,293.0,297.65,288.6,55.13M,-0.60%
410,"Jul 26, 2021",293.15,295.0,297.0,291.0,27.50M,-0.81%
411,"Jul 23, 2021",295.55,300.5,301.9,295.0,33.44M,-2.31%
412,"Jul 22, 2021",302.55,305.5,307.45,301.05,21.34M,0.13%
413,"Jul 20, 2021",302.15,307.0,308.0,301.05,27.67M,-2.17%
414,"Jul 19, 2021",308.85,308.95,310.3,306.0,21.35M,-0.77%
415,"Jul 16, 2021",311.25,311.1,315.45,310.5,25.15M,0.32%
416,"Jul 15, 2021",310.25,310.5,312.85,307.6,23.62M,0.23%
417,"Jul 14, 2021",309.55,310.0,313.3,308.65,21.86M,-0.45%
418,"Jul 13, 2021",310.95,310.0,312.25,308.15,25.74M,1.14%
419,"Jul 12, 2021",307.45,310.8,312.0,306.1,32.28M,0.38%
420,"Jul 09, 2021",306.3,305.8,308.85,301.85,48.81M,-0.02%
421,"Jul 08, 2021",306.35,314.8,314.8,305.0,87.36M,-3.39%
422,"Jul 07, 2021",317.1,316.0,319.1,306.25,112.18M,0.06%
423,"Jul 06, 2021",316.9,348.0,358.2,311.5,164.08M,-8.44%
424,"Jul 05, 2021",346.1,347.05,350.1,344.0,18.40M,0.35%
425,"Jul 02, 2021",344.9,345.3,345.55,340.5,18.30M,0.19%
426,"Jul 01, 2021",344.25,341.5,347.4,341.2,27.94M,1.37%
427,"Jun 30, 2021",339.6,342.0,345.35,338.85,18.28M,-0.57%
428,"Jun 29, 2021",341.55,342.65,346.5,339.6,22.46M,-0.36%
429,"Jun 28, 2021",342.8,340.8,345.0,337.55,17.84M,0.93%
430,"Jun 25, 2021",339.65,335.9,342.8,335.9,22.43M,1.49%
431,"Jun 24, 2021",334.65,335.0,337.4,333.35,15.58M,-0.18%
432,"Jun 23, 2021",335.25,341.0,343.25,334.3,25.74M,-0.78%
433,"Jun 22, 2021",337.9,337.1,344.3,336.15,26.71M,1.08%
434,"Jun 21, 2021",334.3,330.9,335.8,326.2,29.12M,-0.92%
435,"Jun 18, 2021",337.4,345.65,346.9,329.0,49.44M,-2.39%
436,"Jun 17, 2021",345.65,348.4,352.9,342.25,29.24M,-1.06%
437,"Jun 16, 2021",349.35,350.1,356.0,348.1,27.55M,-0.95%
438,"Jun 15, 2021",352.7,355.75,360.75,351.5,35.53M,-0.91%
439,"Jun 14, 2021",355.95,350.05,357.9,341.1,38.48M,1.48%
440,"Jun 11, 2021",350.75,346.0,352.9,344.35,36.44M,1.74%
441,"Jun 10, 2021",344.75,345.2,347.85,342.4,24.35M,0.41%
442,"Jun 09, 2021",343.35,356.2,358.9,339.75,59.33M,-2.66%
443,"Jun 08, 2021",352.75,346.25,356.65,337.5,44.11M,2.10%
444,"Jun 07, 2021",345.5,339.75,351.0,339.75,64.99M,3.15%
445,"Jun 04, 2021",334.95,325.15,336.9,324.25,41.28M,2.86%
446,"Jun 03, 2021",325.65,325.3,327.7,323.65,21.41M,0.82%
447,"Jun 02, 2021",323.0,315.95,324.4,315.6,26.32M,1.54%
448,"Jun 01, 2021",318.1,319.2,325.7,317.3,32.60M,-0.20%
449,"May 31, 2021",318.75,318.7,319.75,312.1,30.92M,0.00%
450,"May 28, 2021",318.75,322.65,324.5,316.5,26.62M,0.05%
451,"May 27, 2021",318.6,317.05,323.45,316.55,49.48M,0.98%
452,"May 26, 2021",315.5,316.1,320.0,314.8,28.64M,0.08%
453,"May 25, 2021",315.25,315.55,319.0,313.85,37.38M,1.09%
454,"May 24, 2021",311.85,314.75,315.8,310.2,31.96M,-0.40%
455,"May 21, 2021",313.1,312.0,315.7,309.5,40.36M,1.75%
456,"May 20, 2021",307.7,316.0,316.6,306.1,54.04M,-2.15%
457,"May 19, 2021",314.45,313.0,322.95,312.1,119.41M,-5.41%
458,"May 18, 2021 E",332.45,325.95,336.65,324.0,86.15M,3.53%
459,"May 17, 2021",321.1,315.4,323.85,311.4,51.16M,2.83%
460,"May 14, 2021",312.25,329.35,329.5,310.0,81.31M,-4.22%
461,"May 12, 2021",326.0,318.25,334.75,316.25,111.58M,3.31%
462,"May 11, 2021",315.55,309.55,320.75,308.1,58.47M,0.22%
463,"May 10, 2021",314.85,304.5,315.7,304.0,53.26M,4.00%
464,"May 07, 2021",302.75,303.0,305.95,300.5,41.59M,0.50%
465,"May 06, 2021",301.25,291.5,302.0,290.3,45.03M,3.34%
466,"May 05, 2021",291.5,293.5,293.9,288.5,29.35M,0.71%
467,"May 04, 2021",289.45,296.35,299.75,288.05,38.64M,-1.21%
468,"May 03, 2021",293.0,289.3,294.75,285.0,35.38M,-0.29%
469,"Apr 30, 2021",293.85,298.2,301.3,292.55,36.12M,-2.67%
