Date,Symbol,Price,Chg%,High,Low,Open,Volume
2017-01-06,tcs,1118.4,-0.0227,1141.91,1106.49,1137.82,3010000
2017-01-09,tcs,1129.33,0.0098,1133.06,1106.44,1115.27,1850000
2017-01-10,tcs,1135.05,0.0051,1142.13,1123.35,1129.48,1530000
2017-01-11,tcs,1139.48,0.0039,1142.03,1117.81,1134.87,1930000
2017-01-12,tcs,1149.26,0.0086,1156.93,1129.48,1139.48,2570000
2017-01-13,tcs,1102.67,-0.0405,1155.93,1097.05,1151.05,10240000
2017-01-16,tcs,1107.2,0.0040999999999999,1114.73,1092.22,1103.01,3360000
2017-01-17,tcs,1117.1,0.0089,1121.54,1104.38,1105.41,3010000
2017-01-18,tcs,1125.12,0.0072,1126.54,1110.58,1116.74,3140000
2017-01-19,tcs,1123.11,-0.0018,1125.14,1119.16,1125.07,2250000
2017-01-20,tcs,1120.34,-0.0025,1127.52,1110.36,1121.15,2040000
2017-01-23,tcs,1130.81,0.0093,1134.14,1107.81,1110.36,2320000
2017-01-24,tcs,1136.52,0.005,1138.8,1122.62,1129.48,2280000
2017-01-25,tcs,1153.5,0.0149,1156.93,1136.37,1138.6,4110000
2017-01-27,tcs,1155.86,0.002,1166.13,1149.61,1149.61,2870000
2017-01-30,tcs,1143.65,-0.0106,1152.99,1136.42,1147.62,2580000
2017-01-31,tcs,1093.11,-0.0441999999999999,1143.23,1078.52,1137.33,4670000
2017-02-01,tcs,1062.76,-0.0278,1098.08,1056.71,1088.3,4860000
2017-02-02,tcs,1082.25,0.0183,1087.81,1055.46,1063.82,6010000
2017-02-03,tcs,1094.46,0.0113,1099.58,1074.09,1083.25,2150000
2017-02-06,tcs,1098.48,0.0037,1107.18,1085.83,1106.93,2410000
2017-02-07,tcs,1100.36,0.0017,1104.28,1091.24,1100.07,1810000
2017-02-08,tcs,1113.28,0.0116999999999999,1118.99,1100.09,1100.51,2210000
2017-02-09,tcs,1136.0,0.0204,1141.25,1112.91,1115.27,4030000
2017-02-10,tcs,1175.54,0.0348,1188.53,1132.91,1132.91,5780000
2017-02-13,tcs,1183.53,0.0068,1190.76,1167.89,1174.58,3820000
2017-02-14,tcs,1179.61,-0.0033,1186.18,1175.56,1186.18,2029999
2017-02-15,tcs,1183.26,0.0031,1190.27,1164.34,1175.07,1920000
2017-02-16,tcs,1199.95,0.0141,1214.78,1194.0,1205.96,4179999
2017-02-17,tcs,1180.42,-0.0163,1213.6,1177.52,1211.84,2720000
2017-02-20,tcs,1226.64,0.0392,1252.53,1180.51,1188.8,3970000
2017-02-21,tcs,1208.58,-0.0147,1238.26,1203.58,1232.43,5500000
2017-02-22,tcs,1182.18,-0.0218,1210.86,1176.62,1208.85,4510000
2017-02-23,tcs,1216.64,0.0291,1222.26,1183.9,1183.9,4850000
2017-02-27,tcs,1220.59,0.0032,1226.55,1210.88,1215.32,2140000
2017-02-28,tcs,1209.02,-0.0095,1220.66,1201.05,1220.42,2350000
2017-03-01,tcs,1215.54,0.0054,1226.5,1210.86,1215.71,1130000
2017-03-02,tcs,1226.28,0.0088,1230.47,1210.88,1219.05,1540000
2017-03-03,tcs,1222.65,-0.003,1225.42,1213.51,1221.64,1010000
2017-03-06,tcs,1212.09,-0.0086,1217.72,1203.29,1215.76,1400000
2017-03-07,tcs,1225.47,0.011,1228.02,1213.34,1217.18,1510000
2017-03-08,tcs,1231.55,0.005,1235.37,1221.74,1226.55,1790000
2017-03-09,tcs,1235.25,0.003,1237.33,1227.55,1232.5,858470
2017-03-10,tcs,1246.28,0.0089,1249.86,1232.4,1235.17,1170000
2017-03-14,tcs,1258.66,0.0098999999999999,1268.29,1250.59,1253.41,3400000
2017-03-15,tcs,1224.73,-0.027,1260.94,1222.55,1260.86,3020000
2017-03-16,tcs,1235.81,0.009,1238.8,1228.51,1228.51,1570000
2017-03-17,tcs,1238.19,0.0019,1248.12,1230.35,1248.12,2590000
2017-03-20,tcs,1215.76,-0.0181,1238.29,1208.9,1238.29,3490000
2017-03-21,tcs,1219.05,0.0027,1221.64,1208.41,1216.74,3370000
2017-03-22,tcs,1215.25,-0.0031,1223.61,1210.83,1215.84,1890000
2017-03-23,tcs,1206.13,-0.0075,1218.24,1199.68,1216.74,2620000
2017-03-24,tcs,1189.88,-0.0135,1210.76,1187.97,1210.76,5100000
2017-03-27,tcs,1182.45,-0.0062,1196.15,1179.48,1189.76,2180000
2017-03-28,tcs,1191.23,0.0074,1197.82,1181.45,1181.45,1150000
