Date,High,Chg%,Price,Symbol,Open,Volume,Low
2019-09-26,251.4,0.0115,250.4,itc,247.3,17850000,246.25
2019-09-27,258.0,0.0102,252.95,itc,250.0,17540000,250.0
2019-09-30,260.8,0.0273,259.85,itc,254.75,20590000,249.4
2019-10-01,262.45,-0.0152,255.9,itc,259.1,15440000,255.0
2019-10-03,262.15,0.0225,261.65,itc,257.7,12360000,256.05
2019-10-04,263.9,-0.0168,257.25,itc,263.0,18090000,255.2
2019-10-07,258.0,-0.0208,251.9,itc,257.5,21260000,250.7
2019-10-09,252.2,-0.0191,247.1,itc,251.3,21500000,246.3
2019-10-10,247.65,-0.0158,243.2,itc,247.0,24290000,242.65
2019-10-11,246.2,0.0031,243.95,itc,243.2,25070000,241.1
2019-10-14,246.4,0.0006,244.1,itc,245.45,14710000,243.0
2019-10-15,249.2,0.0143,247.6,itc,245.05,9990000,245.05
2019-10-16,247.6,-0.016,243.65,itc,247.4,16059999,242.15
2019-10-17,246.7,0.009,245.85,itc,244.0,13650000,243.85
2019-10-18,247.8,0.0026,246.5,itc,246.0,12830000,245.1
2019-10-22,251.1,0.0097,248.9,itc,245.0,18280000,244.95
2019-10-23,251.95,0.0086,251.05,itc,250.4,12830000,249.05
2019-10-24,254.0,-0.008,249.05,itc,252.6,16790000,247.95
2019-10-25,257.2,-0.0054,247.7,itc,256.9,32590000,247.0
2019-10-27,251.1,0.0109,250.4,itc,249.95,3130000,249.7
2019-10-29,255.1,0.0113999999999999,253.25,itc,250.95,11940000,249.55
2019-10-30,264.0,0.0243,259.4,itc,256.0,34290000,254.3
2019-10-31,262.85,-0.0067,257.65,itc,260.0,16649999,256.2
2019-11-01,263.0,0.0141999999999999,261.3,itc,259.35,12570000,258.75
2019-11-04,264.95,-0.0021,260.75,itc,262.95,7900000,260.05
2019-11-05,264.0,0.0081999999999999,262.9,itc,261.0,10280000,258.6
2019-11-06,263.8,-0.0059,261.35,itc,262.95,8860000,260.0
2019-11-07,266.3,0.0172,265.85,itc,262.9,14780000,262.0
2019-11-08,265.45,-0.0200999999999999,260.5,itc,264.85,11900000,260.0
2019-11-11,262.35,-0.004,259.45,itc,260.6,7250000,258.8
