Date,Low,High,Open,Volume,Symbol,Price,Chg%
2017-10-06,2163.25,2185.0,2181.75,201950,britannia,2180.93,-0.0004
2017-10-09,2161.47,2196.57,2180.93,368160,britannia,2172.25,-0.004
2017-10-10,2167.0,2195.2,2189.5,174920,britannia,2174.3,0.0009
2017-10-11,2151.15,2199.5,2176.0,645590,britannia,2187.97,0.0063
2017-10-12,2194.53,2289.25,2197.45,852120,britannia,2272.22,0.0385
2017-10-13,2275.0,2328.0,2275.0,711830,britannia,2291.1,0.0083
2017-10-16,2257.55,2308.85,2295.07,222750,britannia,2270.05,-0.0092
2017-10-17,2265.0,2320.0,2265.0,212610,britannia,2307.65,0.0166
2017-10-18,2302.53,2362.5,2310.5,358180,britannia,2342.93,0.0153
2017-10-19,2310.05,2362.5,2355.0,29400,britannia,2318.12,-0.0106
2017-10-23,2319.05,2373.47,2321.35,242700,britannia,2327.6,0.0040999999999999
2017-10-24,2301.03,2344.0,2344.0,145050,britannia,2312.93,-0.0063
2017-10-25,2287.5,2329.95,2324.5,307030,britannia,2322.12,0.004
2017-10-26,2293.5,2331.78,2313.28,300780,britannia,2302.32,-0.0085
2017-10-27,2285.05,2327.3,2304.45,187420,britannia,2298.68,-0.0016
2017-10-30,2300.0,2383.72,2300.0,315000,britannia,2372.95,0.0323
2017-10-31,2315.35,2385.0,2375.0,238030,britannia,2319.75,-0.0224
2017-11-01,2321.0,2372.78,2321.0,271260,britannia,2348.62,0.0124
2017-11-02,2292.4,2361.88,2351.07,168100,britannia,2329.32,-0.0081999999999999
2017-11-03,2315.05,2354.45,2354.45,115570,britannia,2329.05,-0.0001
2017-11-06,2310.07,2350.22,2326.1,240010,britannia,2321.53,-0.0032
2017-11-07,2304.0,2371.0,2334.0,408350,britannia,2324.5,0.0013
2017-11-08,2300.1,2343.68,2334.5,198650,britannia,2326.75,0.001
2017-11-09,2326.8,2399.9,2332.5,345830,britannia,2378.97,0.0224
2017-11-10,2370.5,2458.9,2389.5,487210,britannia,2436.5,0.0242
2017-11-13,2343.78,2463.3,2387.5,668370,britannia,2441.15,0.0019
2017-11-14,2388.15,2457.57,2453.5,558680,britannia,2394.18,-0.0192
2017-11-15,2363.1,2412.5,2390.0,195020,britannia,2374.88,-0.0081
2017-11-16,2364.0,2408.03,2370.0,258550,britannia,2368.35,-0.0027
2017-11-17,2367.5,2414.93,2384.5,398040,britannia,2375.03,0.0028
2017-11-20,2362.18,2399.5,2388.5,318360,britannia,2381.6,0.0028
2017-11-21,2384.5,2421.97,2385.0,301550,britannia,2408.45,0.0113
2017-11-22,2374.0,2418.22,2412.5,242730,britannia,2387.57,-0.0087
2017-11-23,2380.53,2405.0,2390.72,143060,britannia,2391.18,0.0015
2017-11-24,2354.28,2397.28,2393.03,291790,britannia,2371.0,-0.0084
2017-11-27,2380.38,2411.97,2384.5,388640,britannia,2398.45,0.0116
2017-11-28,2390.1,2426.85,2406.0,302220,britannia,2397.35,-0.0005
2017-11-29,2392.53,2415.53,2410.0,305990,britannia,2405.57,0.0034
2017-11-30,2345.05,2441.0,2407.0,6270000,britannia,2407.8,0.0009
2017-12-01,2382.3,2432.5,2420.53,331530,britannia,2402.97,-0.002
2017-12-04,2375.0,2405.38,2382.5,132580,britannia,2381.62,-0.0089
2017-12-05,2367.65,2405.3,2381.62,200320,britannia,2380.93,-0.0003
2017-12-06,2357.62,2397.45,2397.45,156710,britannia,2380.22,-0.0003
2017-12-07,2382.53,2475.0,2385.0,279800,britannia,2461.62,0.0342
2017-12-08,2418.0,2481.95,2474.97,233560,britannia,2427.93,-0.0137
2017-12-11,2418.9,2474.5,2435.05,202690,britannia,2434.6,0.0027
2017-12-12,2413.0,2454.5,2438.0,131960,britannia,2430.05,-0.0019
2017-12-13,2397.6,2436.5,2430.0,146550,britannia,2407.43,-0.0093
2017-12-14,2330.0,2423.75,2423.75,359050,britannia,2347.43,-0.0249
2017-12-15,2340.53,2374.1,2374.1,255600,britannia,2351.8,0.0019
2017-12-18,2299.2,2355.32,2355.32,373040,britannia,2349.75,-0.0009
2017-12-19,2339.15,2389.72,2357.5,548370,britannia,2378.28,0.0121
2017-12-20,2357.5,2385.0,2385.0,263210,britannia,2372.7,-0.0023
2017-12-21,2353.0,2375.0,2365.07,172130,britannia,2366.35,-0.0027
2017-12-22,2367.5,2412.47,2403.5,569020,britannia,2373.32,0.0029
