,Date,Price,Open,High,Low,Volume,Chg%
910,"Jul 17, 2019",2797.8,2753.95,2809.95,2748.0,306.99K,1.84%
911,"Jul 16, 2019",2747.15,2770.0,2777.0,2737.6,221.66K,-0.95%
912,"Jul 15, 2019",2773.6,2795.0,2795.0,2755.0,150.53K,-0.25%
913,"Jul 12, 2019",2780.6,2763.0,2800.0,2750.75,186.08K,0.56%
914,"Jul 11, 2019",2765.15,2780.0,2790.9,2757.0,206.14K,-0.16%
915,"Jul 10, 2019",2769.55,2762.0,2805.0,2742.9,356.99K,0.25%
916,"Jul 09, 2019",2762.65,2770.0,2778.4,2730.15,314.27K,-0.67%
917,"Jul 08, 2019",2781.15,2829.9,2834.95,2771.05,302.97K,-1.55%
918,"Jul 05, 2019",2824.85,2858.0,2862.9,2811.9,361.52K,-0.58%
919,"Jul 04, 2019",2841.35,2790.0,2850.0,2789.0,346.40K,1.67%
920,"Jul 03, 2019",2794.7,2779.0,2819.0,2765.45,454.11K,0.92%
921,"Jul 02, 2019",2769.25,2741.05,2777.0,2734.3,242.28K,1.16%
922,"Jul 01, 2019",2737.55,2750.1,2771.0,2732.0,283.00K,-0.22%
923,"Jun 28, 2019",2743.7,2735.0,2768.0,2732.0,363.94K,0.65%
924,"Jun 27, 2019",2725.9,2740.0,2764.6,2720.0,964.52K,-0.26%
925,"Jun 26, 2019",2732.9,2805.0,2813.45,2700.0,1.39M,-2.66%
926,"Jun 25, 2019",2807.7,2776.0,2818.35,2753.6,304.80K,0.98%
927,"Jun 24, 2019",2780.5,2830.0,2865.0,2771.05,369.27K,-1.63%
928,"Jun 21, 2019",2826.7,2835.0,2874.45,2805.0,363.70K,-0.26%
929,"Jun 20, 2019",2834.05,2850.0,2870.85,2796.55,425.86K,-1.45%
930,"Jun 19, 2019",2875.7,2872.0,2904.5,2850.0,258.72K,0.29%
931,"Jun 18, 2019",2867.25,2905.0,2905.0,2860.0,302.73K,-1.10%
932,"Jun 17, 2019",2899.2,2964.1,2977.9,2891.1,234.06K,-2.19%
933,"Jun 14, 2019",2964.1,2972.0,2986.15,2954.45,117.53K,-0.69%
934,"Jun 13, 2019",2984.55,2989.3,2994.6,2952.0,213.53K,-0.41%
935,"Jun 12, 2019",2996.9,2979.95,3005.0,2960.95,203.66K,0.56%
936,"Jun 11, 2019",2980.3,3005.0,3010.0,2970.0,282.23K,-0.47%
937,"Jun 10, 2019",2994.3,2909.7,3005.0,2909.7,477.97K,3.28%
938,"Jun 07, 2019",2899.3,2905.0,2919.3,2860.0,285.27K,-0.07%
939,"Jun 06, 2019",2901.35,2965.3,2977.95,2881.8,333.12K,-2.08%
940,"Jun 04, 2019",2963.1,2970.2,2985.0,2951.0,211.08K,-0.24%
941,"Jun 03, 2019",2970.2,2936.0,3000.0,2935.9,535.06K,1.65%
942,"May 31, 2019",2921.95,2895.0,2970.0,2889.6,577.55K,1.21%
943,"May 30, 2019",2887.15,2921.0,2937.05,2874.6,225.79K,-1.02%
944,"May 29, 2019",2917.0,2887.5,2930.0,2871.0,248.04K,1.04%
945,"May 28, 2019",2887.0,2910.0,2925.0,2880.0,441.69K,-0.33%
946,"May 27, 2019",2896.55,2870.0,2905.0,2858.05,267.26K,1.60%
947,"May 24, 2019",2851.05,2845.0,2867.0,2808.2,227.83K,0.44%
948,"May 23, 2019",2838.7,2874.0,2890.0,2827.1,262.58K,-0.49%
949,"May 22, 2019",2852.65,2861.0,2878.0,2817.5,393.51K,0.14%
950,"May 21, 2019",2848.7,2800.0,2867.4,2794.1,490.61K,1.70%
951,"May 20, 2019",2801.2,2839.0,2840.0,2781.0,442.70K,0.79%
952,"May 17, 2019",2779.25,2719.85,2785.1,2710.0,533.79K,2.32%
