,Date,Price,Open,High,Low,Volume,Chg%
1096,"Oct 16, 2018",282.65,283.0,283.75,276.35,11.87M,0.05%
1097,"Oct 15, 2018",282.5,278.95,283.6,276.0,17.93M,2.65%
1098,"Oct 12, 2018",275.2,267.5,277.65,267.3,13.43M,3.77%
1099,"Oct 11, 2018",265.2,265.0,269.3,263.65,10.61M,-1.81%
1100,"Oct 10, 2018",270.1,269.9,271.15,267.2,11.48M,0.60%
1101,"Oct 09, 2018",268.5,275.5,275.5,267.75,10.54M,-1.72%
1102,"Oct 08, 2018",273.2,279.0,279.4,269.15,16.43M,-1.19%
1103,"Oct 05, 2018",276.5,285.5,286.0,275.1,17.62M,-3.69%
1104,"Oct 04, 2018",287.1,293.85,295.7,285.15,8.11M,-2.74%
1105,"Oct 03, 2018",295.2,297.0,300.0,294.65,7.57M,-0.64%
1106,"Oct 01, 2018",297.1,300.85,302.95,293.4,9.03M,-0.22%
1107,"Sep 28, 2018",297.75,295.0,300.0,291.8,24.61M,1.52%
1108,"Sep 27, 2018",293.3,293.5,295.1,289.5,12.08M,0.05%
1109,"Sep 26, 2018",293.15,303.0,303.0,289.75,19.89M,-2.66%
1110,"Sep 25, 2018",301.15,296.9,302.35,292.35,13.27M,1.07%
1111,"Sep 24, 2018",297.95,305.0,306.35,292.5,14.45M,-1.97%
1112,"Sep 21, 2018",303.95,300.4,306.6,300.4,16.34M,1.44%
1113,"Sep 19, 2018",299.65,304.5,305.65,298.0,6.15M,-1.19%
1114,"Sep 18, 2018",303.25,302.2,304.9,299.3,8.20M,0.41%
1115,"Sep 17, 2018",302.0,305.0,306.1,301.5,5.83M,-1.68%
1116,"Sep 14, 2018",307.15,307.0,308.65,305.05,12.82M,0.11%
1117,"Sep 12, 2018",306.8,297.75,307.6,295.4,19.42M,3.23%
1118,"Sep 11, 2018",297.2,306.65,306.75,295.55,26.01M,-3.05%
1119,"Sep 10, 2018",306.55,310.2,310.75,305.55,9.64M,-1.26%
1120,"Sep 07, 2018",310.45,311.6,313.2,308.1,7.19M,-0.11%
1121,"Sep 06, 2018",310.8,311.4,311.75,308.05,7.61M,0.18%
1122,"Sep 05, 2018",310.25,310.4,314.45,309.25,10.14M,0.21%
1123,"Sep 04, 2018",309.6,312.0,312.2,307.0,11.18M,-1.15%
1124,"Sep 03, 2018",313.2,322.95,322.95,311.05,9.11M,-2.08%
1125,"Aug 31, 2018",319.85,322.0,322.6,317.2,18.08M,0.00%
1126,"Aug 30, 2018",319.85,313.5,320.6,313.5,24.97M,2.25%
1127,"Aug 29, 2018",312.8,311.7,315.45,310.0,10.35M,0.37%
1128,"Aug 28, 2018",311.65,314.0,315.8,311.0,6.61M,-0.56%
1129,"Aug 27, 2018",313.4,311.2,314.85,310.5,5.28M,0.97%
1130,"Aug 24, 2018",310.4,311.0,312.0,307.0,5.45M,-0.51%
1131,"Aug 23, 2018",312.0,314.0,316.4,307.35,11.31M,-0.29%
1132,"Aug 21, 2018",312.9,314.5,317.0,312.0,13.62M,-0.13%
1133,"Aug 20, 2018",313.3,314.2,315.0,311.3,19.22M,-0.14%
1134,"Aug 17, 2018",313.75,307.8,315.3,307.8,25.41M,2.05%
1135,"Aug 16, 2018",307.45,307.9,308.5,305.1,18.67M,-0.15%
1136,"Aug 14, 2018",307.9,307.0,310.2,306.85,12.32M,0.64%
1137,"Aug 13, 2018",305.95,304.0,307.8,303.15,9.96M,0.38%
1138,"Aug 10, 2018",304.8,302.0,306.9,301.15,14.78M,0.76%
1139,"Aug 09, 2018",302.5,301.75,304.6,300.05,9.22M,0.52%
1140,"Aug 08, 2018",300.95,300.25,302.4,300.0,6.44M,-0.05%
1141,"Aug 07, 2018",301.1,302.95,304.2,299.75,7.19M,-0.23%
1142,"Aug 06, 2018",301.8,305.0,306.9,300.0,7.68M,-0.71%
1143,"Aug 03, 2018",303.95,300.0,305.4,298.15,12.47M,1.59%
1144,"Aug 02, 2018",299.2,300.5,303.5,297.3,9.85M,-0.80%
1145,"Aug 01, 2018",301.6,298.05,302.95,296.1,14.62M,1.31%
1146,"Jul 31, 2018",297.7,300.75,301.35,295.55,14.56M,-1.11%
1147,"Jul 30, 2018",301.05,302.0,303.6,300.0,17.08M,-0.50%
1148,"Jul 27, 2018",302.55,300.0,307.15,295.0,75.86M,5.34%
1149,"Jul 26, 2018 E",287.2,287.0,291.15,284.2,20.70M,0.37%
1150,"Jul 25, 2018",286.15,284.25,286.95,283.2,13.30M,0.18%
1151,"Jul 24, 2018",285.65,284.5,287.0,283.55,12.11M,0.53%
1152,"Jul 23, 2018",284.15,279.5,286.65,277.15,26.06M,3.70%
1153,"Jul 20, 2018",274.0,273.25,274.8,270.65,6.57M,0.26%
1154,"Jul 19, 2018",273.3,268.9,274.6,266.25,8.96M,1.77%
1155,"Jul 18, 2018",268.55,271.1,271.3,267.6,7.05M,-0.48%
1156,"Jul 17, 2018",269.85,271.05,273.0,269.3,10.03M,-0.64%
1157,"Jul 16, 2018",271.6,270.3,273.3,269.7,10.28M,0.44%
1158,"Jul 13, 2018",270.4,278.0,278.3,269.2,18.59M,-2.45%
1159,"Jul 12, 2018",277.2,275.75,278.15,273.3,9.90M,0.53%
1160,"Jul 11, 2018",275.75,276.85,280.3,273.75,11.36M,-0.47%
1161,"Jul 10, 2018",277.05,275.5,277.5,273.1,11.49M,0.97%
1162,"Jul 09, 2018",274.4,275.0,276.0,272.2,9.78M,0.64%
1163,"Jul 06, 2018",272.65,272.75,274.75,270.15,12.94M,0.06%
1164,"Jul 05, 2018",272.5,264.6,273.8,263.5,15.47M,3.06%
1165,"Jul 04, 2018",264.4,266.3,266.3,262.2,7.88M,-0.40%
