Date,Low,Volume,Price,Chg%,High,Open
2021-06-17,3609.5,300190,3658.15,0.0051,3663.0,3625.9
2021-06-18,3595.0,731810,3619.2,-0.0106,3679.0,3661.4
2021-06-21,3581.1,231480,3648.85,0.0081999999999999,3653.95,3600.0
2021-06-22,3616.0,235560,3650.9,0.0006,3665.0,3650.0
2021-06-23,3631.0,379000,3659.3,0.0023,3684.3,3652.0
2021-06-24,3651.0,385390,3689.1,0.0081,3704.85,3659.3
2021-06-25,3644.9,176770,3670.05,-0.0052,3709.9,3709.9
2021-06-28,3643.0,181790,3667.25,-0.0008,3685.0,3670.05
2021-06-29,3610.05,357260,3657.15,-0.0028,3667.1,3655.0
2021-06-30,3632.95,428390,3649.65,-0.0021,3690.0,3675.0
2021-07-01,3580.65,612680,3595.8,-0.0148,3661.0,3640.0
2021-07-02,3535.0,292860,3545.3,-0.0139999999999999,3609.0,3609.0
2021-07-05,3512.4,519059,3523.55,-0.0060999999999999,3584.5,3564.0
2021-07-06,3508.65,282120,3519.0,-0.0013,3533.85,3526.0
2021-07-07,3506.0,524480,3521.35,0.0007,3542.0,3521.0
2021-07-08,3473.25,627230,3491.4,-0.0085,3525.9,3499.0
2021-07-09,3468.0,595360,3475.95,-0.0044,3518.0,3491.0
2021-07-12,3464.1,146120,3470.4,-0.0016,3500.0,3482.2
2021-07-13,3465.1,182920,3485.5,0.0044,3489.45,3488.75
2021-07-14,3454.15,458960,3485.75,0.0001,3488.15,3474.0
2021-07-15,3455.5,264600,3460.85,-0.0070999999999999,3503.0,3503.0
2021-07-16,3437.1,399010,3441.0,-0.0056999999999999,3472.7,3460.0
2021-07-19,3426.1,226730,3450.15,0.0027,3457.5,3440.4
2021-07-20,3426.5,152950,3433.55,-0.0048,3466.95,3455.0
2021-07-22,3415.0,389460,3425.3,-0.0024,3449.5,3449.5
2021-07-23,3425.3,247780,3439.8,0.0042,3452.5,3427.0
2021-07-26,3431.0,433830,3482.0,0.0123,3498.0,3439.95
2021-07-27,3435.15,210610,3450.75,-0.009,3504.85,3496.0
2021-07-28,3410.0,352130,3424.1,-0.0077,3469.0,3469.0
2021-07-29,3402.0,321410,3405.6,-0.0054,3428.95,3424.2
2021-07-30,3378.0,988320,3423.4,0.0052,3440.0,3424.0
2021-08-02,3440.05,1890000,3504.65,0.0237,3542.0,3446.7
2021-08-03,3531.0,1330000,3573.2,0.0196,3579.0,3550.0
2021-08-04,3540.0,478790,3578.3,0.0014,3599.0,3579.0
2021-08-05,3547.6,497150,3611.15,0.0092,3617.7,3578.3
2021-08-06,3590.1,258380,3604.0,-0.002,3620.0,3611.15
2021-08-09,3606.25,444710,3636.1,0.0089,3649.0,3619.9
2021-08-10,3611.5,249490,3637.2,0.0003,3644.0,3636.1
2021-08-11,3571.1,233120,3625.5,-0.0032,3648.95,3637.2
2021-08-12,3607.5,232970,3620.8,-0.0013,3642.95,3634.4
2021-08-13,3575.1,323140,3579.55,-0.0113999999999999,3644.1,3620.8
2021-08-16,3553.05,348970,3655.3,0.0212,3673.95,3570.0
2021-08-17,3668.0,579150,3696.5,0.0113,3707.6,3670.0
2021-08-18,3686.95,426840,3720.75,0.0066,3730.0,3708.8
2021-08-20,3635.3,1570000,3895.95,0.0471,3967.5,3640.0
2021-08-23,3850.6,645090,3866.25,-0.0076,3964.65,3910.0
2021-08-24,3795.5,437170,3812.2,-0.0139999999999999,3892.0,3874.85
2021-08-25,3797.0,360780,3842.8,0.008,3898.0,3812.2
2021-08-26,3825.2,1110000,3930.9,0.0229,3946.95,3825.2
2021-08-27,3911.75,475520,3941.55,0.0027,3972.95,3944.7
2021-08-30,3932.2,466520,3986.35,0.0113999999999999,3993.55,3960.0
2021-08-31,3960.0,688610,3997.5,0.0028,4027.3,3995.0
